BTAG,FLETAG,FLESUBTAG,FEATURES,TOKENS,,DESCRIPTON
FW-RB,FW,,,,bas assai deja um wiederum cito velociter vielleicht simpliciter non zu domi nuper sic forsan olim oui semper tout despues hors,foreign word: adverb
FW-RB+CC,FW,,,,forisque,"foreign word: adverb + conjunction, coordinating"
FW-TO+VB,FW,,,,d'entretenir,"foreign word: infinitival to + verb, infinitive"
FW-UH,FW,,,,sayonara bien adieu arigato bonjour adios bueno tchalo ciao o,foreign word: interjection
FW-VB,FW,,,,nolo contendere vive fermate faciunt esse vade noli tangere dites duces meminisse iuvabit gosaimasu voulez habla ksu'u'peli'afo lacheln miuchi say allons strafe portant,"foreign word: verb, present tense, not 3rd person singular, imperative or infinitive"
FW-VBD,FW,,,,stabat peccavi audivi,"foreign word: verb, past tense"
FW-VBG,FW,,,,nolens volens appellant seq. obliterans servanda dicendi delenda,"foreign word: verb, present participle or gerund"
FW-VBN,FW,,,,vue verstrichen rasa verboten engages,"foreign word: verb, past participle"
FW-VBZ,FW,,,,gouverne sinkt sigue diapiace,"foreign word: verb, present tense, 3rd person singular"
FW-WDT,FW,,,,quo qua quod que quok,foreign word: WH-determiner
FW-WPO,FW,,,,quibusdam,"foreign word: WH-pronoun, accusative"
FW-WPS,FW,,,,qui,"foreign word: WH-pronoun, nominative"
HV,AUX,Bare,,,have hast,"verb ""to have"", uninflected present tense, infinitive or imperative"
HV*,AUX,Bare,Neg,,haven't ain't,"verb ""to have"", uninflected present tense or imperative, negated"
HV+TO,,,,,hafta,"verb ""to have"", uninflected present tense + infinitival to"
HVD,AUX,Finite,Past,,had,"verb ""to have"", past tense"
HVD*,AUX,Finite,"Past,Neg",,hadn't,"verb ""to have"", past tense, negated"
HVG,AUX,PresPart,,,having,"verb ""to have"", present participle or gerund"
HVN,AUX,PastPart,,,had,"verb ""to have"", past participle"
HVZ,AUX,Finite,"3P,Sg,Pres",,has hath,"verb ""to have"", present tense, 3rd person singular"
HVZ*,AUX,Finite,"3P,Sg,Pres,Neg",,hasn't ain't,"verb ""to have"", present tense, 3rd person singular, negated"
IN,PREP,,,,of in for by considering to on among at through with under into regarding than since despite according per before toward against as after during including between without except upon out over ...,preposition
IN+IN,,,,,f'ovuh,"preposition, hyphenated pair"
IN+PPO,,,,,t'hi-im,"preposition + pronoun, personal, accusative"
JJ,ADJ,,,,recent over-all possible hard-fought favorable hard meager fit such widespread outmoded inadequate ambiguous grand clerical effective orderly federal foster general proportionate ...,adjective
JJ$,ADJ,Poss,,,Great's,"adjective, genitive"
JJ+JJ,,,,,big-large long-far,"adjective, hyphenated pair"
JJR,ADJ,Comparative,,,greater older further earlier later freer franker wider better deeper firmer tougher faster higher bigger worse younger lighter nicer slower happier frothier Greater newer Elder ...,"adjective, comparative"
JJR+CS,,,,,lighter'n,"adjective + conjunction, coordinating"
JJS,ADJ,Superlative,,,top chief principal northernmost master key head main tops utmost innermost foremost uppermost paramount topmost,"adjective, semantically superlative"
